A-Party Number,Total Calls,Unique B-Parties,Average Call Duration,Call Success Rate,Spam
990017557856,340,637,10583,0.71,0
990059940520,1749,614,2459,0.26,1
990047936438,1817,765,5162,0.43,1
990091996277,1094,619,10882,0.86,0
990061219381,802,569,10546,0.76,0
990024453200,602,611,9368,0.68,0
990008933019,495,644,8236,0.81,0
990025637673,682,641,9088,0.9,0
990018262178,2342,1482,1428,0.27,1
990091969837,290,493,7922,0.73,0
990082220755,634,695,9550,0.64,0
990024637112,523,217,7754,0.68,0
990028031196,1966,1242,3338,0.36,1
990089537897,764,494,9420,0.64,0
990011773077,897,660,7913,0.7,0
990057897367,598,405,8415,0.81,0
990042804415,1008,108,9821,0.63,0
990021021481,484,674,10436,0.54,0
990057817181,699,508,9818,0.55,0
990088236218,706,493,9573,0.78,0
990085084138,1044,777,8461,0.74,0
990065755583,404,363,6966,0.74,0
990089035056,877,664,9308,0.78,0
990067184174,574,861,10717,0.8,0
990036892434,755,349,6058,0.85,0
990045834928,922,505,10268,0.58,0
990026043986,468,616,9196,0.67,0
990099867217,481,700,8458,0.55,0
990042984983,560,348,9032,0.56,0
990090229667,643,588,9748,0.71,0
990037131470,1003,433,8465,0.83,0
990015169879,964,626,10240,0.7,0
990068757195,890,614,9709,0.61,0
990073060092,603,327,7772,0.7,0
990038624743,735,375,10862,0.68,0
990064409919,1242,409,10375,0.58,0
990022870641,668,310,9893,0.8,0
990004725905,477,585,9328,0.91,0
990059894897,1337,1320,3053,0.38,1
990074284251,448,736,9941,0.76,0
990073544193,785,426,7396,0.65,0
990058223956,813,617,8415,0.59,0
990008996411,676,508,8651,0.69,0
990024349624,860,578,8138,0.53,0
990060241770,573,478,9240,0.75,0
990057562345,911,437,8130,0.64,0
990076378118,1115,495,10310,0.72,0
990005715785,668,901,9655,0.72,0
990038311105,754,532,8953,0.74,0
990055583040,748,219,8868,0.71,0
990022949616,2119,1056,5544,0.28,1
990064746750,906,810,8408,0.72,0
990044176017,706,556,8545,0.71,0
990014342699,775,814,7569,0.85,0
990017535202,578,627,10319,0.45,0
990049040421,822,397,8117,0.72,0
990096412098,828,460,7044,0.63,0
990035415823,701,603,9477,0.51,0
990074114382,675,657,8539,0.6,0
990057346150,338,397,9297,0.65,0
990041591241,779,893,8825,0.63,0
990009463155,714,550,8828,0.87,0
990098270569,515,435,8257,0.74,0
990016052092,1064,396,9184,0.95,0
990049541045,862,495,7712,0.62,0
990098531040,893,495,8230,0.77,0
990054602709,642,424,7546,0.78,0
990068639524,785,620,10262,0.73,0
990044193715,521,480,9208,0.62,0
990002013604,1099,453,8724,0.75,0
990065010989,984,733,8784,0.81,0
990015786943,804,558,9691,0.67,0
990099526051,764,631,9242,0.79,0
990080628211,475,626,7400,0.69,0
990049141280,521,474,7517,0.65,0
990047744555,1165,439,10304,0.71,0
990035239923,856,463,10402,0.75,0
990020466249,549,508,8170,0.85,0
990044421078,920,682,8646,0.64,0
990051160551,989,1344,2809,0.35,1
990090786986,793,534,8571,0.52,0
990034582423,654,767,8665,0.83,0
990080948692,1043,451,10707,0.73,0
990009900283,774,625,8491,0.78,0
990000987203,456,258,8021,0.61,0
990069299040,1688,1208,3899,0.23,1
990059511652,996,657,8271,0.69,0
990051086472,445,731,9457,0.72,0
990076697652,634,247,8218,0.79,0
990094982862,1095,540,8721,0.62,0
990017460092,815,495,9152,0.7,0
990007923785,820,553,8269,0.46,0
990030362259,1054,514,10171,0.75,0
990012924378,712,424,9974,0.61,0
990074354901,543,417,7879,0.57,0
990081670578,553,466,9207,0.89,0
990033582187,895,408,9049,0.82,0
990001814418,572,395,9646,0.78,0
990086534336,603,466,6366,0.74,0
990039108488,671,716,8631,0.59,0
990045337818,919,637,7855,0.7,0
990086669318,613,568,9891,0.72,0
990034412126,559,488,7775,0.79,0
990099601273,989,474,9846,0.77,0
990076230713,1205,602,8710,0.67,0
990094168868,1456,879,6019,0.42,1
990055381046,400,537,9757,0.8,0
990022685433,658,784,7965,0.69,0
990009795245,941,608,7510,0.71,0
990013332177,976,431,9257,0.71,0
990096258886,839,489,9931,0.7,0
990046758583,688,532,8970,0.84,0
990038764464,467,385,8719,0.85,0
990066242115,927,636,8351,0.56,0
990037098773,680,181,10212,0.56,0
990088551104,1566,1127,4952,0.37,1
990097637707,597,806,8270,0.61,0
990035432595,714,559,7719,0.81,0
990002926217,810,442,10180,0.69,0
990039056919,843,464,9868,0.67,0
990092171768,1081,525,9826,0.68,0
990023146127,577,734,10250,0.57,0
990087752865,2068,1002,3637,0.19,1
990051883409,898,400,9391,0.77,0
990094103662,529,750,9485,0.71,0
990059930278,975,542,9325,0.81,0
990036290680,734,594,9189,0.48,0
990034600977,425,340,8030,0.73,0
990042255842,580,526,8869,0.72,0
990046678327,907,207,8344,0.89,0
990069321008,801,646,8020,0.69,0
990022561834,751,568,9350,0.75,0
990098940292,890,282,8431,0.76,0
990061782986,659,497,10819,0.73,0
990082327719,801,697,9207,0.55,0
990005025102,453,478,9426,0.68,0
990059324628,469,602,8998,0.83,0
990010222532,745,311,7865,0.72,0
990014983470,661,502,10447,0.46,0
990051712282,1719,1695,4297,0.48,1
990051024837,991,167,7467,0.71,0
990037246057,1706,707,6778,0.39,1
990094043992,714,383,8065,0.69,0
990004256069,1936,1383,4581,0.15,1
990078237521,667,618,8219,0.76,0
990072527675,371,253,8578,0.53,0
990068741194,1064,674,9352,0.64,0
990063716127,586,651,8967,0.76,0
990015050881,679,636,7065,0.69,0
990091177905,987,395,9009,0.77,0
990004043158,670,184,9797,0.68,0
990030509941,641,711,10174,0.73,0
990020299326,528,585,8344,0.56,0
990023679295,612,481,7857,0.84,0
990063600825,786,496,9298,0.6,0
990029784277,582,695,9352,0.72,0
990020660993,868,353,6903,0.62,0
990099462052,651,683,8583,0.59,0
990049606707,819,613,9282,0.63,0
990031590539,506,319,10268,0.68,0
990026649778,856,462,9783,0.82,0
990083792783,1872,697,2513,0.3,1
990050441213,891,422,9938,0.76,0
990093184245,1232,392,8415,0.6,0
990056420043,529,503,10674,0.49,0
990079466880,989,590,9848,0.74,0
990001650551,818,401,8894,0.61,0
990074997319,262,336,9366,0.72,0
990048716776,1014,607,8223,0.55,0
990084133560,835,810,10622,0.72,0
990001673993,610,363,8994,0.73,0
990024351347,507,795,10113,0.71,0
990094951744,781,754,9660,0.65,0
990045244060,908,417,9520,0.68,0
990040886234,568,709,10567,0.71,0
990083871305,1101,788,8639,0.72,0
990043956269,770,457,10423,0.95,0
990044034060,472,635,10009,0.61,0
990012187958,828,642,9262,0.8,0
990004168357,671,632,9561,0.66,0
990010274003,554,707,8688,0.76,0
990050907450,692,443,10627,0.63,0
990008354145,351,706,7046,0.66,0
990029615747,691,709,8495,0.69,0
990051254023,1074,527,10360,0.64,0
990033427414,562,618,9438,0.6,0
990022628464,884,451,9872,0.91,0
990069419411,778,513,7587,0.61,0
990034726401,618,509,8157,0.76,0
990057004467,931,695,9365,0.89,0
990041094603,483,525,9780,0.85,0
990051760180,565,656,9319,0.8,0
990052746357,729,572,9024,0.69,0
990062976548,721,638,9684,0.57,0
990047159669,721,578,9823,0.78,0
990035902365,902,731,9932,0.76,0
990062600401,829,298,9502,0.72,0
990056204237,954,722,9073,0.79,0
990005457479,862,660,8480,0.78,0
990000191122,567,635,7701,0.72,0
990011590638,517,421,9100,0.75,0
990065665661,872,519,10372,0.63,0
990094221861,468,413,9219,0.64,0
990085991672,537,514,9989,0.75,0
990086065781,1669,717,4643,0.17,1
990086115978,957,483,10109,0.72,0
990073283799,1778,1109,4148,0.21,1
990053036518,654,530,9988,0.49,0
990047539422,1855,1443,1489,0.37,1
990031516896,1832,1165,3129,0.34,1
990070511724,663,644,9633,0.68,0
990018063147,118,581,7530,0.73,0
990045258497,859,566,8289,0.7,0
990097970998,1078,515,8792,0.57,0
990027797738,1106,530,7941,0.82,0
990030383665,631,363,10120,0.46,0
990027788740,1829,1549,2941,0.17,1
990062485103,949,471,8232,0.75,0
990025474393,721,424,8280,0.61,0
990037031583,1084,1238,2059,0.37,1
990015908966,1094,676,9046,0.74,0
990040840111,734,502,9175,0.61,0
990014773168,689,507,9557,0.68,0
990020946505,609,435,7358,0.72,0
990078001296,2340,1308,3276,0.29,1
990065936850,732,537,7463,0.59,0
990045720579,348,461,9315,0.73,0
990014720529,574,373,7669,0.62,0
990012327355,537,818,9934,0.8,0
990064799742,1321,461,8366,0.47,0
990084492545,995,660,7789,0.7,0
990081951293,598,724,7804,0.59,0
990097005564,739,689,8861,0.75,0
990055904185,497,713,8190,0.63,0
990002981987,586,409,8702,0.82,0
990017628653,946,534,7855,0.82,0
990019225835,622,302,6980,0.63,0
990032585903,710,553,8463,0.58,0
990003176229,584,752,8557,0.95,0
990003525862,1098,825,8350,0.6,0
990023682240,621,371,7684,0.87,0
990043123419,648,592,10517,0.7,0
990047150417,284,698,11309,0.61,0
990000426879,339,401,8905,0.68,0
990089108969,464,403,9447,0.78,0
990003019251,1066,393,9190,0.59,0
990036591919,697,557,7869,0.65,0
990085739229,617,384,10821,0.68,0
990006905127,702,578,8891,0.52,0
990097993909,462,416,10257,0.7,0
990012564766,538,719,8041,0.52,0
990057007938,318,471,8536,0.72,0
990052116210,1032,440,9481,0.77,0
990071500816,437,289,8617,0.66,0
990031042704,473,242,8982,0.74,0
990081163069,451,465,8360,0.78,0
990057491776,574,608,9930,0.83,0
990019380610,613,420,8807,0.77,0
990053179865,1010,450,8183,0.57,0
990054799260,943,625,8623,0.78,0
990029320603,662,604,9255,0.68,0
990099404700,521,621,8839,0.65,0
990082198523,591,372,9550,0.81,0
990040238470,801,684,9673,0.64,0
990058325860,1098,460,11153,0.61,0
990024901572,397,849,10895,0.79,0
990064665798,707,872,9736,0.72,0
990020308583,593,475,9216,0.92,0
990013766249,791,631,10830,0.78,0
990034919844,853,470,8467,0.47,0
990031746783,690,638,8732,0.67,0
990094165460,979,795,10262,0.67,0
990011882734,2254,1059,3828,0.37,1
990015202452,878,705,8101,0.65,0
990006341707,874,615,9629,0.81,0
990064054062,539,589,9236,0.73,0
990022562503,534,686,9233,0.74,0
990085451011,561,702,9577,0.83,0
990071297737,556,488,9045,0.79,0
990014127916,575,935,8462,0.63,0
990097332570,1555,1422,5490,0.33,1
990047548273,578,556,8958,0.74,0
990057390341,887,693,9004,0.79,0
990091003849,498,679,9506,0.47,0
990005323581,696,403,10028,0.82,0
990067629606,767,513,10205,0.74,0
990089861715,715,489,8899,0.48,0
990051313347,777,556,10862,0.69,0
990041927915,197,513,10864,0.65,0
990023705390,868,487,6119,0.58,0
990046238235,776,501,8681,0.75,0
990019597827,840,650,8171,0.75,0
990038948443,519,596,9382,0.54,0
990094745236,590,582,8364,0.88,0
990097719032,764,530,8700,0.67,0
990007097266,890,718,10885,0.76,0
990033760041,516,880,9380,0.68,0
990007507522,868,421,9962,0.7,0
990014776056,683,455,9153,0.67,0
990028083991,713,587,8670,0.76,0
990024713454,194,576,10274,0.8,0
990061219071,845,210,10452,0.59,0
990078413223,389,895,7922,0.72,0
990082002011,1267,885,5432,0.35,1
990011017472,595,266,8489,0.67,0
990082138193,754,880,8370,0.8,0
990076934761,395,637,9538,0.72,0
990062829894,802,609,6688,0.62,0
990002209957,804,743,7647,0.84,0
990083559473,820,521,7720,0.72,0
990029662860,962,608,8434,0.85,0
990095406490,843,348,8812,0.78,0
990076235518,652,685,8942,0.57,0
990080200256,682,331,8578,0.64,0
990027019256,1750,796,4214,0.27,1
990095135332,1198,647,8914,0.6,0
990070810391,901,281,8816,0.75,0
990092082521,700,506,8779,0.54,0
990036657635,1046,587,8407,0.56,0
990068970088,93,714,9889,0.77,0
990014034685,901,629,9234,0.68,0
990083699497,354,316,9511,0.71,0
990045529473,719,466,7945,0.56,0
990034594407,705,390,9506,0.82,0
990042345744,710,951,10657,0.63,0
990033109592,521,650,10162,0.75,0
990097838444,369,434,8786,0.89,0
990079580430,227,345,6396,0.64,0
990073556996,1241,672,2583,0.3,1
990064132523,276,561,8726,0.91,0
990008406674,719,548,7180,0.63,0
990035927488,483,731,8388,0.57,0
990008869434,565,764,6274,0.67,0
990065390298,1098,564,9154,0.67,0
990027460381,970,849,8585,0.67,0
990045378804,413,644,8534,0.61,0
990090928760,1907,378,5872,0.26,1
990042472779,1089,736,7688,0.7,0
990071616680,805,307,8590,0.85,0
990082056815,825,333,10201,0.6,0
990007720277,987,646,6924,0.79,0
990034433477,799,406,8143,0.85,0
990002621279,1046,687,9038,0.66,0
990015599040,787,758,9297,0.68,0
990013710866,827,517,7698,0.63,0
990026730912,537,628,10352,0.72,0
990094727198,376,722,9399,0.5,0
990077389608,861,321,8809,0.85,0
990003952766,643,608,8609,0.71,0
990070549127,763,279,9175,0.68,0
990073819868,585,778,9079,0.62,0
990013153600,693,488,7504,0.68,0
990022857476,867,622,8257,0.79,0
990031845389,1595,981,4964,0.43,1
990089386089,926,501,9203,0.64,0
990013253178,899,556,7628,0.65,0
990099844263,413,563,7507,0.63,0
990088347947,948,483,9481,0.59,0
990082905179,655,530,9669,0.74,0
990039093381,745,698,8363,0.69,0
990032183287,496,951,8082,0.65,0
990065188617,539,355,10584,0.61,0
990065861301,928,527,9210,0.73,0
990005508981,690,654,9984,0.68,0
990029526075,621,665,11551,0.73,0
990020367578,359,504,10382,0.88,0
990060171496,769,517,10158,0.86,0
990098929462,396,613,9662,0.64,0
990011237324,892,464,9504,0.83,0
990094959989,632,456,9939,0.85,0
990084109651,813,478,8448,0.76,0
990075882953,775,629,10561,0.68,0
990001194641,633,582,8468,0.79,0
990029454010,654,331,8227,0.62,0
990069620030,944,498,9689,0.71,0
990065658124,944,526,10560,0.72,0
990040888053,444,219,8892,0.75,0
990056640926,688,606,9200,0.67,0
990068061382,549,559,10420,0.8,0
990080596743,811,613,8984,0.69,0
990055336593,823,630,9723,0.59,0
990096472286,822,432,9649,0.82,0
990013458228,1620,1078,5181,0.27,1
990090229252,594,573,11075,0.73,0
990058271452,801,706,8771,0.48,0
990038298733,610,203,10497,0.72,0
990065939926,958,339,10076,0.59,0
990027500085,803,374,7915,0.69,0
990071953094,223,550,9419,0.6,0
990035841790,494,535,9245,0.7,0
990018610437,822,431,6907,0.74,0
990030727049,374,454,9104,0.66,0
990091674078,440,570,9106,0.67,0
990097346183,701,240,10402,0.81,0
990060164069,641,720,8137,0.89,0
990005253233,1188,499,9949,0.62,0
990011966874,502,467,8305,0.65,0
990051248801,983,538,8976,0.59,0
990078463126,788,303,9685,0.49,0
990009590985,858,445,9053,0.85,0
990089428350,713,671,8320,0.68,0
990049754483,635,396,9284,0.67,0
990051791266,911,455,8559,0.63,0
990041430142,476,258,9983,0.74,0
990011550330,577,448,9158,0.6,0
990099739483,894,357,9763,0.79,0
990072823250,805,445,9009,0.76,0
990083327303,729,523,9981,0.64,0
990057194745,964,501,9248,0.9,0
990075646374,1515,1103,2575,0.18,1
990027604504,813,854,7407,0.59,0
990083641298,804,802,9382,0.7,0
990047104632,571,472,9056,0.62,0
990008916448,837,537,11107,0.69,0
990041538880,602,454,10495,0.71,0
990084866942,1552,1128,3142,0.17,1
990022869128,715,497,8149,0.51,0
990037345097,679,392,7568,0.63,0
990002211856,893,931,10843,0.59,0
990005831332,1002,684,8464,0.81,0
990044354952,528,447,10804,0.65,0
990072753547,369,488,8315,0.85,0
990042736837,689,499,9081,0.72,0
990066460318,489,640,10321,0.77,0
990026088543,848,285,7895,0.61,0
990045241212,632,873,10699,0.85,0
990037257828,1154,744,8450,0.81,0
990095059204,721,850,9317,0.72,0
990077779901,603,555,8482,0.67,0
990038845044,704,610,7553,0.63,0
990027588868,1139,1123,4874,0.39,1
990039629335,584,626,9356,0.64,0
990021538654,635,444,9463,0.62,0
990002484556,785,316,8460,0.71,0
990044670304,951,442,8339,0.62,0
990018342048,423,480,10743,0.72,0
990092558557,391,412,9814,0.69,0
990073339571,370,684,8658,0.64,0
990047179779,888,535,8332,0.56,0
990088020940,800,468,9310,0.67,0
990086533831,315,452,7874,0.72,0
990084026135,734,675,9318,0.78,0
990040836097,1477,1193,3806,0.32,1
990056719113,758,236,8535,0.87,0
990085418063,864,516,9510,0.57,0
990046039358,974,531,9589,0.7,0
990050965285,760,684,8711,0.78,0
990095362216,902,617,8837,0.7,0
990044760990,790,449,11318,0.63,0
990055015028,952,484,8806,0.71,0
990028609933,541,644,9697,0.56,0
990098777593,619,486,10045,0.66,0
990028294588,722,446,9238,0.57,0
990063762648,882,455,7792,0.62,0
990053230984,685,281,9708,0.74,0
990011883687,398,622,7924,0.58,0
990053582702,612,378,9162,0.66,0
990073089845,1890,1409,3285,0.49,1
990052361204,638,471,8958,0.68,0
990056450462,762,559,10738,0.77,0
990033501713,1072,432,8568,0.64,0
990047505227,1716,1041,3675,0.35,1
990051907989,749,764,8622,0.76,0
990043604723,836,546,9959,0.63,0
990037816605,690,437,8255,0.63,0
990019176459,1767,1742,2789,0.51,1
990087745571,675,388,8781,0.66,0
990050206753,449,586,7835,0.75,0
990022119978,285,621,9740,0.71,0
990087362923,557,585,8830,0.64,0
990028745710,551,552,8711,0.58,0
990042474427,1026,623,7204,0.74,0
990018338216,768,801,9768,0.64,0
990088397779,546,347,9279,0.84,0
990016711726,662,667,9424,0.79,0
990098579690,2464,657,5996,0.2,1
990019826789,729,437,7616,0.77,0
990008310252,938,733,6487,0.69,0
990095758272,706,421,8463,0.57,0
990069432099,1090,664,9100,0.68,0
990053236469,665,565,9454,0.69,0
990008299027,798,559,8802,0.81,0
990091043508,1000,474,7919,0.46,0
990095569909,798,658,8855,0.68,0
990020813282,130,620,9718,0.79,0
990065687654,849,559,8919,0.87,0
990072399978,736,622,9319,0.58,0
990065662073,1363,1519,3471,0.35,1
990092504841,759,462,8390,0.76,0
990044780546,515,775,8919,0.73,0
990008990135,1395,1209,3380,0.34,1
990056128395,726,214,8359,0.74,0
990028603520,641,559,8455,0.67,0
990028897938,968,395,9322,0.78,0
990098364664,1033,612,8467,0.54,0
990020302870,988,545,9448,0.81,0
990022768351,777,699,9073,0.81,0
990028441623,778,728,8033,0.62,0
990049089751,369,395,8168,0.68,0
990016448210,797,493,7063,0.72,0
990006604443,741,511,9259,0.73,0
990048370701,1002,813,9738,0.69,0
990075606790,868,389,9725,0.73,0
990020689249,726,369,8568,0.77,0
990095045168,1014,410,9725,0.57,0
990001467473,1773,1355,2924,0.16,1
990013585598,2399,1408,4783,0.33,1
990017646018,433,785,10052,0.85,0
990014050466,421,526,9437,0.56,0
990033323481,888,554,8061,0.71,0
990056416461,909,464,9483,0.6,0
990093459065,647,428,8627,0.77,0
990080842275,272,508,10249,0.68,0
990055945171,618,666,9200,0.55,0
990027026648,640,416,9608,0.73,0
990036592225,1175,1227,3646,0.25,1
990085484794,792,539,8107,0.86,0
990014306698,673,584,8566,0.52,0
990067120382,940,635,9256,0.64,0
990068474821,734,401,8303,0.48,0
990088917046,494,686,9872,0.43,0
990087089520,797,386,9842,0.62,0
990005660717,622,410,8741,0.75,0
990036546004,318,487,9100,0.65,0
990054409162,603,567,9587,0.74,0
990033332683,926,492,8297,0.6,0
990057408399,601,722,9318,0.5,0
990040927146,1244,507,7769,0.82,0
990070139279,679,620,8314,0.63,0
990010428171,1312,407,7892,0.68,0
990014822499,490,397,10125,0.71,0
990067125537,637,560,8562,0.78,0
